cat
cd
chdir
chmod
cp
emacs
grep
gzip
less
ls
man
more
mv
pwd
rehash
rm
tar
vi
bsdiff
bspatch
chflags
chflags
chgrp
chmod
chown
cksum
cmp
convmv
dd
df
diff
diff3
du
fd
fsck
fuser
ldd
ln
ls
md5
md5sum
mkdir
mkfile
patch
rename
rm
rmdir
script
stat
touch
tree
umask
xdelta
xdtm
xdu
xfm
cron
crontab
kill
killall
nice
nohup
priocntl
ps
renice
suspend
top
ulimit
xkill
MAKEDEV
ac
accton
adduser
at
atq
catman
chflags
cron
crontab
dmesg
freebsd-update
fstat
halt
kbdcontrol
last
lastcomm
ldconfig
ldd
lsdev
manpath
mount
newaliases
ntpdate
pkg_add
pkg_delete
pkg_info
pkgadd
pwd_mkdb
reboot
rmuser
rup
sa
shutdown
su
sudo
swapinfo
sync
umount
uname
uptime
useradd
vipw
vmstat
xcpustate
xload
xsysinfo
xsysstats
yum
bindkey
chpass
chsh
complete
crontab
id
leave
limit
lock
mesg
passwd
printenv
quota
set
setenv
source
unalias
uncomplete
unhash
unlimit
unset
unsetenv
xev
xmodmap
xset
a2p
ar
as
awk
bison
cc
cccc
cflow
configure
cpp
f77
file2c
filepp
flex
gas
gcc
gcore
gdb
gmake

grep
indent
ld
lex
lint
m4
make
nm
p2cc
perl
python
sed
strip
truss
unifdef
wish
xmkmf
yacc
bq
mysql
bq
gcloud
agrep
egrep
fgrep
find
grep
locate
xargs
zgrep
afterstep
enlightenment
fvwm
fvwm2
fvwm95-2
twm
xsm
amp
cda
cdcontrol
cdplay
cdplayer
gogo
mpg123
mxaudio
playmidi
sox
splay
tosha
workman
xanim
xaudio
xmcd
ImageMagick
cjpeg
convert
display
dvi2ps
flame
gimp
gnuplot
gs
identify
import
maplay
netpbm
pngquant
tgif
xanim
xli
xloadimage
xmandel
xpaint
xsetroot
xv
xwd
xwud
archie
bfilter
dig
ethereal
fetch
finger
ftp
hostname
ifconfig
inetd
lsof
mesg
ncftp
netstat
nslookup
openssl
phone
ping
ppp
rcp
rlogin
route
rsh
rsync
socat
ssh
talk
tcpdump
telnet
traceroute
w
who
whois
write
xarchie
xftp
xhost
xntpd
base64
bzip2
compress
gzcat
gzexe
gzip
gzrecover
lha
openssl
pngquant
tar
uncompress
unzip
uudecode
uuencode
zcat
zdiff
zforce
zip
zipinfo
zmore
znew
alias
bash
bg
bindkey
builtins
complete
csh
exec
exit
export
fg
for
foreach
hash
history
if
jobs
limit
local
rehash
select
set
setenv
sh
suspend
tcsh
telltc
test
type
unalias
unhash
unset
unsetenv
where
which
coco
convmv
elvis
euctosj
gawk
iconv
jcatman
jless
jman
kakasi
kinput2
kon
kterm
mule
nkf
qkc
dvi2ps
dvi2tty
gs
jlatex
xdvi
coco
du
file
grep
id
info
jman
ls
man
wc
whatis
where
whereis
which
xdu
biff
from
mail
mew
newaliases
popclient
procmail
sendmail
xbiff
xfmail
xpbiff
arithmetic
bc
calc
dc
factor
gnuplot
hexcalc
openssl
primes
xcalc
beav
elvis
emacs
hexdump
jless
less
more
mule
nemacs
vi
view
xemacs
xless
zmore
Eterm
X
XF86Setup
XF86config
kterm
mkfontdir
showrgb
startx
xcb
xcolors
xconsole
xdm
xdpyinfo
xev
xfd
xfontsel
xinit
xkill
xlock
xlsclients
xlsfonts
xmessage
xprop
xrdb
xrefresh
xset
xterm
xwd
xwininfo
xwud
apache
bfilter
fetch
ftp
lynx
mosaic
mozilla
netscape
url_get
weblint
wget
wwwstat
grdc
sunclock
xcalendar
xclock
xengine
xephem
Tee
awk
basename
cal
col
crypt
cut
date
dirname
echo
env
expand
fold
hd
head
head
hexdump
jot
look
od
printf
realpath
rev
sed
seq
sleep
sort
split
strings
tail
tee
textutils
time
tr
unexpand
uniq
usleep
wc
yes
jnethack
oneko
rain
xbill
xboing
xevil
xgal
xneko
banner
decayscreen
greynetic
halo
helix
hopalong
hypercube
imsmap
maze
pedal
stars
xearth
xeyes
xeyes+
xgc
xgolgo
xlock
xlogo
xphoon
xroach
xscreensaver
apropos
find
help
ldd
locate
man
whatis
where
whereis
which
xman
a2ps
appres
astrolog
bdes
bonnie
bonnie++
clear
comm
complete(tcsh)
cu
fdformat
funzip
getopt
ghostview
grance
gsutil
idprio
init
kcon
lesskey
listres
mbmon
mc
mtools
ntpd
numfmt
povray
readline
reset
rlwrap
rtprio
sockstat
stdbuf
stty
tip
tput
tty
unlink
unmount
unzipsfx
users
wall
whoami
xauth
xkeycaps
xscreensaver-command
xtar
